batter_runs,batter_balls,wickets,target_left,balls_left,non_striker_runs,non_striker_balls,partnership_runs,partnership_balls,partnership_boundaries,partnership_dots,team_runs,team_balls,batter_group,non_striker_group,intent,risk
19,9,9,55,18,80,42,27,13,3,1,151,102,4,1,2,3
18,19,8,15,6,71,49,61,48,7,23,154,114,4,1,2,3
18,16,6,3,40,79,40,55,30,7,11,132,80,4,1,2,1
5,6,6,47,27,29,23,17,15,1,5,121,93,4,1,2,2
5,6,7,111,30,54,29,10,9,0,2,135,90,4,1,2,2
4,11,6,22,25,97,51,29,22,3,9,141,95,4,1,2,2
0,0,6,97,57,41,28,0,0,0,0,86,63,4,1,2,3
43,24,2,41,37,54,28,81,43,11,15,137,83,4,2,2,1
28,21,7,54,24,61,40,60,42,9,19,126,96,4,2,2,2
26,16,8,71,52,41,21,51,28,6,8,107,68,4,2,2,3
10,2,6,48,16,68,26,13,4,2,1,219,104,4,2,2,2
5,9,6,114,84,29,13,11,13,0,5,37,36,4,2,2,2
48,31,6,30,18,51,37,96,66,9,18,150,102,4,3,2,1
43,24,6,17,12,26,14,68,34,10,11,179,108,4,3,2,1
31,25,6,15,10,28,22,38,34,4,17,157,110,4,3,2,2
19,14,6,30,23,26,18,39,26,5,10,154,97,4,3,2,2
4,5,6,57,36,17,9,21,14,3,7,135,84,4,3,2,2
0,6,6,26,20,5,2,5,8,1,6,156,100,4,3,2,3
66,29,8,39,23,22,28,83,54,14,21,148,97,4,4,2,1
45,27,7,50,20,12,12,48,29,5,10,131,100,4,4,2,2
43,20,8,65,36,19,24,57,41,9,19,122,84,4,4,2,2
31,22,7,5,24,12,8,27,20,3,8,131,96,4,4,2,2
31,23,9,19,16,2,3,4,5,0,1,141,104,4,4,2,3
22,12,9,15,22,1,2,17,9,2,3,166,98,4,4,2,3
2,10,8,7,12,8,7,10,14,1,9,163,108,4,4,2,2
41,23,6,42,33,41,24,55,29,7,8,138,87,4,1,1,1
39,24,6,22,23,33,30,57,39,7,15,127,97,4,1,1,2
36,21,6,38,33,37,19,61,32,7,9,152,87,4,1,1,1
33,30,6,8,6,99,59,107,77,16,34,154,114,4,1,1,2
24,20,7,13,5,64,38,56,36,8,16,177,115,4,1,1,2
20,14,6,5,19,84,40,41,22,6,11,178,101,4,1,1,1
18,12,6,11,14,62,42,23,20,2,8,152,106,4,1,1,1
4,3,8,29,8,77,35,18,11,2,2,199,112,4,1,1,3
4,2,9,41,45,67,36,13,4,1,0,104,75,4,1,1,3
4,3,9,112,33,75,41,7,5,1,2,127,87,4,1,1,3
0,0,9,76,41,50,36,0,0,0,0,107,79,4,1,1,3
30,32,6,4,4,74,48,94,69,12,31,165,116,4,2,1,1
3,9,6,4,3,61,42,10,12,1,7,176,117,4,2,1,3
22,17,7,20,22,28,20,34,23,5,11,131,98,4,3,1,2
19,16,8,3,12,60,31,35,26,5,13,180,108,4,3,1,2
2,8,7,3,8,9,10,11,18,1,12,186,112,4,3,1,3
31,15,8,2,3,2,4,13,9,2,3,172,117,4,4,1,1
30,22,8,7,13,8,3,17,12,2,5,174,107,4,4,1,2
17,9,7,7,10,27,28,30,21,4,9,155,110,4,4,1,2
13,9,8,4,26,1,1,14,9,2,4,157,94,4,4,1,2
